170
_,0.1633556,11.34381
A,0.163521,11.48312
E,0.1638464,11.5853
A,0.1241166,11.72343
_,0.1646627,11.76393
E,0.2912319,11.92475
A,0.1434203,11.92475
_,0.144549,12.1036
A,0.1632179,12.19312
E,0.1832838,12.28386
A,0.1647117,12.42605
E,0.124215,12.54399
A,0.2242162,12.66432
E,0.2034625,12.94458
A,0.3639119,13.08342
A,0.1744042,13.52503
A,0.2233423,14.02347
A,0.3693469,14.68373
_,0.1447488,15.48395
_,0.2435598,15.86548
A,0.3635069,16.00434
A,0.2828873,16.44371
A,0.2633149,17.00353
A,0.2644772,17.72377
_,0.2031019,18.50408
_,0.2440729,18.86406
A,0.3437663,19.02453
A,0.2227103,19.44421
A,0.2031785,19.98369
A,0.2238177,20.68352
_,0.163607,21.48578
_,0.184248,21.86586
A,0.3229577,22.00532
A,0.3305093,22.45416
A,0.2440414,22.98549
A,0.344159,23.6254
E,0.2028085,24.50655
A,0.0248073,24.50655
_,0.1628942,24.60806
A,0.2029875,24.66392
E,0.1445373,25.30413
A,0.5229765,25.38474
_,0.1245851,25.47296
E,0.1651046,26.40521
_,0.1239859,26.42495
A,0.2031598,26.48414
E,0.2432103,26.66521
_,0.1032232,26.76374
A,0.2102936,26.82495
E,0.2627143,27.03072
_,0.1245271,27.08532
A,0.2229811,27.20496
E,0.2485515,27.40404
_,0.1639222,27.44477
A,0.18401,27.56694
E,0.1033621,27.76445
A,0.1854296,27.88484
A,0.123216,28.12365
_,0.4842372,28.4844
A,0.1231986,29.12417
E,0.5835161,29.56345
A,0.1232119,30.12983
E,0.1701743,30.26595
_,3.983355,30.92393
_,0.1632168,47.97061
A,0.1844274,48.09119
E,0.4243751,48.24534
_,0.1439844,48.28565
A,0.0852603,48.42476
_,0.0633552,48.57074
A,0.2432482,48.604
E,0.1831524,48.9043
A,0.5833741,49.00465
E,0.0866827,49.18484
A,0.2638829,49.64429
A,0.3631484,50.06426
A,0.4441515,50.6654
_,0.1634476,51.46456
_,0.1638556,51.84518
A,0.2696915,52.00485
A,0.4032804,52.38381
A,0.3690819,53.04433
A,0.5242215,53.68552
_,0.1523837,54.46512
_,0.2235348,54.84511
A,0.3832891,54.96583
A,0.4835778,55.48574
A,0.5451684,56.12476
A,0.463902,56.7655
_,0.242898,57.44643
_,0.1630864,57.86509
A,0.2843117,57.98517
A,0.3231734,58.44579
A,0.3433701,59.00496
A,0.2636597,59.69291
