A,0.1425078,0.5048286
_,0.2038356,0.5839953
E,0.1422262,1.004579
A,0.3433021,1.943774
E,0.282549,2.062557
E,0.4025741,2.32423
_,0.4831333,3.343057
A,0.5646527,3.56315
E,0.542507,3.722634
E,0.7224913,3.944569
A,0.7222769,5.082579
E,0.8822752,5.182823
E,1.063589,5.422681
_,0.7828117,6.422692
A,0.9425122,6.662537
E,1.183626,6.843284
E,1.602732,7.063273
A,1.143053,8.142694
E,1.723171,8.284182
E,1.922509,8.542403
_,1.182878,9.503098
A,1.342952,9.762849
E,2.102473,9.902444
E,2.564744,10.14351
A,1.502481,11.30338
E,2.722767,11.42328
E,3.103386,11.62469
