160
_,0.0887556,11.52338
A,0.2436489,11.56492
E,0.1025149,11.72335
E,0.3228921,11.88516
A,0.4831101,12.08727
E,0.4632753,12.28296
_,0.1832157,12.42337
A,0.8026264,12.46297
E,0.6441182,12.86286
A,1.242529,12.88354
A,1.343089,13.45006
A,1.423531,13.98318
A,1.507863,14.64763
E,0.7430258,15.32341
E,0.9034443,15.76369
A,1.883742,15.90394
A,2.022907,16.36303
A,2.129001,16.52309
A,2.483073,16.92267
A,2.822316,17.68456
E,1.182909,18.34372
E,1.423374,18.78337
A,3.129961,18.98368
A,3.522786,19.38326
A,3.963143,19.92527
A,4.322942,20.68378
E,1.52341,21.54332
E,1.72456,21.82443
A,4.663414,21.98433
A,5.003538,22.44326
A,5.382732,23.00851
A,5.682894,23.6637
_,0.3029819,24.90318
A,5.782774,25.06459
A,5.947252,25.54348
E,1.868976,25.68322
A,6.083551,26.48321
E,1.964049,26.60399
A,6.182898,26.74346
_,0.402689,26.8434
E,2.143033,27.00376
A,6.363202,27.14437
E,2.222848,27.30412
_,0.5438123,27.30412
A,6.543784,27.46425
E,2.383225,27.58363
A,6.703166,28.10398
A,6.790806,28.34429
E,2.542956,28.60384
E,3.184274,28.78346
A,6.963531,29.42365
E,3.823676,29.70413
A,7.124371,30.32585
E,4.083817,30.46488
_,0.6711578,31.0054
A,7.422584,31.08506
E,4.183583,31.20506
E,4.543481,31.4836
_,0.7630234,47.96891
E,4.64249,48.06379
A,7.60913,48.1258
E,4.803452,48.31005
_,0.803477,48.42529
A,8.022511,48.42496
_,0.8430088,48.62837
A,8.083455,48.90569
E,4.963874,48.94516
A,8.342745,49.08512
A,8.503693,49.4439
A,8.623763,50.06445
A,8.743275,50.68576
_,0.9434608,51.51033
_,1.088681,51.80954
A,9.051027,51.92612
A,9.252984,52.35449
A,9.462477,52.92405
A,9.68319,53.6842
E,5.103148,54.48406
E,5.263963,54.78596
A,9.962983,54.9243
A,10.28284,55.34549
A,10.48301,55.92857
A,10.70382,56.60564
_,1.223865,57.38557
_,1.362484,57.78456
A,10.90339,57.86383
A,11.16391,58.30438
A,11.34262,58.92739
A,11.50273,59.60551
